Package,Package Priority,Developer in Master List,Link of PR Raised,Upgrade Required, Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded, Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success, Bulk Build Number of SRPMs, Developer from under review sheet, Under Review PR Link, Reviewer, Review Status
rdist,NA,NA,NA,N,Built,6.1.5,73.azl3,1,1,rdist-6.1.5-85.fc41.src.rpm,Default Initialized,Default Initialized,6.1.5,85.fc41,EXISTS_IN_EXT,6.1.5,Y,1,nan,NOT_FOUND,NA,NA
re2c,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11520,Y,Built,2.0,1.azl3,1,1,re2c-3.1-3.fc41.src.rpm,Default Initialized,Default Initialized,3.1,3.fc41,EXISTS_IN_EXT,2.0,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11520,Suresh,In Review
realmd,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10560,N,Built,0.17.1,1.azl3,1,1,realmd-0.17.1-13.fc41.src.rpm,Default Initialized,Default Initialized,0.17.1,13.fc41,EXISTS_IN_EXT,0.17.1,N,0,Jyoti,NA,NA,NA
rear,NA,NA,NA,Y,Built,2.4,7.azl3,1,1,rear-2.7-12.fc41.src.rpm,Default Initialized,Default Initialized,2.7,12.fc41,EXISTS_IN_EXT,2.4,N,0,nan,NOT_FOUND,NA,NA
recode,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11514,Y,Built,3.7.7,2.azl3,1,1,recode-3.7.14-6.fc41.src.rpm,Default Initialized,Default Initialized,3.7.14,6.fc41,EXISTS_IN_EXT,3.7.7,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11514,Suresh,In Review
redland,NA,NA,NA,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,redland-1.0.17-38.fc41.src.rpm,Default Initialized,Default Initialized,1.0.17,38.fc41,REMOVED_FROM_BOTH,Not Found,N,0,nan,NOT_FOUND,NA,NA
regexp,NA,NA,NA,N,Failed,1.5,23.azl3,1,1,regexp-1.5-49.fc41.src.rpm,Default Initialized,Default Initialized,1.5,49.fc41,EXISTS_IN_EXT,1.5,N,0,nan,NOT_FOUND,NA,NA
relaxngDatatype,NA,NA,NA,Revisit No Dnld Ver,Failed,2011.1,5.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2011.1,N,0,nan,NOT_FOUND,NA,NA
resource-agents,NA,NA,NA,Y,Failed,4.10.0,1.azl3,1,1,resource-agents-4.16.0-1.fc41.src.rpm,Default Initialized,Default Initialized,4.16.0,1.fc41,EXISTS_IN_EXT,4.10.0,N,0,nan,NOT_FOUND,NA,NA
rhash,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11537,Y,Built,1.3.8,4.azl3,1,1,rhash-1.4.4-2.fc41.src.rpm,Default Initialized,Default Initialized,1.4.4,2.fc41,EXISTS_IN_EXT,1.3.8,Y,1,Akhila,NA,NA,NA
rhino,NA,NA,NA,Y,Failed,1.7.7.1,2.azl3,1,1,rhino-1.7.14-13.fc41.src.rpm,Default Initialized,Default Initialized,1.7.14,13.fc41,EXISTS_IN_EXT,1.7.7.1,N,0,nan,NOT_FOUND,NA,NA
rhnlib,NA,NA,NA,Revisit No Dnld Ver,Built,2.8.6,10.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.8.6,N,0,nan,NOT_FOUND,NA,NA
ripgrep,NA,NA,NA,Y,Built,13.0.0,5.azl3,1,1,rust-ripgrep-14.1.1-1.fc41.src.rpm,Default Initialized,Default Initialized,14.1.1,1.fc41,EXISTS_IN_EXT,13.0.0,N,0,nan,NOT_FOUND,NA,NA
rp-pppoe,NA,NA,NA,Y,Built,3.12,16.azl3,1,1,rp-pppoe-4.0-5.fc41.src.rpm,Default Initialized,Default Initialized,4.0,5.fc41,EXISTS_IN_EXT,3.12,N,0,nan,NOT_FOUND,NA,NA
rpmlint,NA,NA,NA,Y,Built,1.11,8.azl3,1,1,rpmlint-2.5.0-10.fc41.src.rpm,Default Initialized,Default Initialized,2.5.0,10.fc41,EXISTS_IN_EXT,1.11,N,0,nan,NOT_FOUND,NA,NA
rtkit,NA,NA,NA,N,Built,0.11,24.azl3,1,1,rtkit-0.11-65.fc41.src.rpm,Default Initialized,Default Initialized,0.11,65.fc41,EXISTS_IN_EXT,0.11,Y,1,nan,NOT_FOUND,NA,NA
rubygem-bson,P1,Jyoti,NA,N,Built,4.15.0,1.azl3,1,1,rubygem-bson-4.15.0-8.fc41.src.rpm,Default Initialized,Default Initialized,4.15.0,8.fc41,EXISTS_IN_EXT,4.15.0,N,0,Jyoti,NOT_FOUND,NA,NA
rubygem-coderay,NA,NA,NA,N,Built,1.1.3,1.azl3,1,1,rubygem-coderay-1.1.3-9.fc41.src.rpm,Default Initialized,Default Initialized,1.1.3,9.fc41,EXISTS_IN_EXT,1.1.3,N,0,nan,NOT_FOUND,NA,NA
rubygem-diff-lcs,NA,NA,NA,N,Built,1.5.0,1.azl3,1,1,rubygem-diff-lcs-1.5.0-6.fc41.src.rpm,Default Initialized,Default Initialized,1.5.0,6.fc41,EXISTS_IN_EXT,1.5.0,Y,1,nan,NOT_FOUND,NA,NA
rubygem-eventmachine,NA,NA,NA,N,Built,1.2.7,2.azl3,1,1,rubygem-eventmachine-1.2.7-26.fc41.src.rpm,Default Initialized,Default Initialized,1.2.7,26.fc41,EXISTS_IN_EXT,1.2.7,N,0,nan,NOT_FOUND,NA,NA
rubygem-flexmock,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11538,Y,Built,2.3.6,8.azl3,1,1,rubygem-flexmock-3.0.1-1.fc41.src.rpm,Default Initialized,Default Initialized,3.0.1,1.fc41,EXISTS_IN_EXT,2.3.6,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11538,NA,NA
rubygem-liquid,P0,Akhila,NA,N,Built,5.1.0,1.azl3,1,1,rubygem-liquid-4.0.3-18.fc41.src.rpm,Default Initialized,Default Initialized,4.0.3,18.fc41,EXISTS_IN_EXT,5.1.0,Y,1,Akhila,NA,NA,NA
rubygem-maruku,NA,NA,NA,Revisit No Dnld Ver,Built,0.7.3,1.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,0.7.3,N,0,nan,NOT_FOUND,NA,NA
rubygem-mongo,P0,Akhila,NA,N,Built,2.17.0,1.azl3,1,1,rubygem-mongo-2.14.0-10.fc41.src.rpm,Default Initialized,Default Initialized,2.14.0,10.fc41,EXISTS_IN_EXT,2.17.0,Y,1,Akhila,NA,NA,NA
rubygem-mysql2,NA,NA,NA,Y,Built,0.5.4,1.azl3,1,1,rubygem-mysql2-0.5.5-5.fc41.src.rpm,Default Initialized,Default Initialized,0.5.5,5.fc41,EXISTS_IN_EXT,0.5.4,N,0,nan,NOT_FOUND,NA,NA
rubygem-pkg-config,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11601,Y,Built,1.4.5,4.azl3,1,1,rubygem-pkg-config-1.5.8-1.fc41.src.rpm,Default Initialized,Default Initialized,1.5.8,1.fc41,EXISTS_IN_EXT,1.4.5,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11601,NA,NA
rubygem-rouge,P0,Akhila,https://github.com/microsoft/azurelinux/pull/11704,Y,Built,3.26.0,3.azl3,1,1,rubygem-rouge-4.4.0-1.fc41.src.rpm,Default Initialized,Default Initialized,4.4.0,1.fc41,EXISTS_IN_EXT,3.26.0,Y,1,Akhila,https://github.com/microsoft/azurelinux/pull/11704,Bala,In Review
rubygem-rspec-expectations,NA,NA,NA,Y,Built,3.12.0,1.azl3,1,1,rubygem-rspec-expectations-3.13.3-1.fc41.src.rp,Default Initialized,Default Initialized,3.13.3,1.fc41.src.rp,EXISTS_IN_EXT,3.12.0,N,0,nan,NOT_FOUND,NA,NA
rubygem-rspec-mocks,NA,NA,NA,Y,Built,3.12.1,1.azl3,1,1,rubygem-rspec-mocks-3.13.2-1.fc41.src.rpm,Default Initialized,Default Initialized,3.13.2,1.fc41,EXISTS_IN_EXT,3.12.1,N,0,nan,NOT_FOUND,NA,NA
rubygem-rspec-support,New P0,Archana,NA,Y,Built,3.12.0,1.azl3,1,1,rubygem-rspec-support-3.13.1-2.fc41.src.rpm,Default Initialized,Default Initialized,3.13.1,2.fc41,EXISTS_IN_EXT,3.12.0,Y,1,nan,NOT_FOUND,NA,NA
rubygem-thread_order,NA,NA,NA,N,Built,1.1.1,5.azl3,1,1,rubygem-thread_order-1.1.1-12.fc41.src.rpm,Default Initialized,Default Initialized,1.1.1,12.fc41,EXISTS_IN_EXT,1.1.1,Y,1,nan,NOT_FOUND,NA,NA
rusers,NA,NA,NA,N,Built,0.17,96.azl3,1,1,rusers-0.17-106.fc41.src.rpm,Default Initialized,Default Initialized,0.17,106.fc41,EXISTS_IN_EXT,0.17,Y,1,nan,NOT_FOUND,NA,NA
rust-cbindgen,NA,NA,NA,Y,Built,0.24.3,1.azl3,1,1,rust-cbindgen-0.27.0-1.fc41.src.rpm,Default Initialized,Default Initialized,0.27.0,1.fc41,EXISTS_IN_EXT,0.24.3,N,0,nan,NOT_FOUND,NA,NA
