S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
48,gnu-regexp,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,Y,2024-10-06 0:00:00,1.1.4,1.1.4,Not found,https://src.fedoraproject.org/rpms/gnu-regexp,1.1.4,https://ftp.frugalware.org/pub/other/sources/gnu.regexp/gnu.regexp-1.1.4.tar.gz,"[15-Oct-2024]: Upstream version is same as core version.
NA-Uptodate.",
49,go-rpm-macros,Y,3.6.0,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/11160,2024-10-15 0:00:00,2024-11-20 0:00:00,2024-11-20 0:00:00,Y,2024-10-06 0:00:00,3.0.9,3.0.9,3.6.0,https://src.fedoraproject.org/rpms/go-rpm-macros,3.6.0,"https://pagure.io/go-rpm-macros
https://pagure.io/go-rpm-macros/",[30-Dec-2024]:  The PR is a leaf PR which builds alone successfully.,https://github.com/microsoft/azurelinux/pull/11160
50,gom,Y,0.5.3,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/11155,2024-10-15 0:00:00,2024-11-20 0:00:00,2024-11-20 0:00:00,Y,2024-10-06 0:00:00,0.4,0.4,0.5.3,https://src.fedoraproject.org/rpms/gom,0.5.3,"https://wiki.gnome.org/Projects/Gom
https://download.gnome.org/sources/gom/0.5/gom-0.5.3.tar.xz",[30-Dec-2024]: The PR is a leaf PR which builds alone successfully.,https://github.com/microsoft/azurelinux/pull/11155
51,google-api-python-client,Y,2.149.0,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/11175,2024-10-15 0:00:00,2024-11-21 0:00:00,2024-11-21 0:00:00,Y,2024-10-06 0:00:00,2.73.0,2.73.0,2.149.0,https://src.fedoraproject.org/rpms/google-api-python-client,2.149.0,"https://github.com/googleapis/google-api-python-client
",,https://github.com/microsoft/azurelinux/pull/11175
52,google-crosextra-caladea-fonts,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,N,2024-10-06 0:00:00,1.002,1.002,1.002,https://src.fedoraproject.org/rpms/google-crosextra-caladea-fonts,,"http://code.google.com/p/chromium/issues/detail?id=168879
https://issues.chromium.org/issues/40959238
http://gsdview.appspot.com/chromeos-localmirror/distfiles/%{archivename}.tar.gz","[16-Oct-2024]: We have taken upstream from ""src-fedora"".",
53,google-crosextra-carlito-fonts,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,N,2024-10-06 0:00:00,1.103,1.103,1.103,No,,,"[16-Oct-2024]: We have taken upstream from ""src-fedora"".",
54,google-noto-cjk-fonts,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-15 0:00:00,2024-10-15 0:00:00,N,2024-10-06 0:00:00,20190416,20190416,Not found,No,2.003,"https://github.com/googlei18n/noto-cjk
https://github.com/notofonts/noto-cjk/releases/
https://github.com/notofonts/noto-cjk/releases/tag/Serif2.003",,
55,google-noto-emoji-fonts,Y,2024108,,Jagadeesh,Ongoing,,2024-11-18 0:00:00,,2024-11-22 0:00:00,N,2024-10-06 0:00:00,20200723,20200723,20241008,https://src.fedoraproject.org/rpms/google-noto-emoji-fonts,2.047,"https://github.com/googlefonts/noto-emoji
]
https://github.com/googlefonts/noto-emoji/releases/tag/v2.047","[25-Nov-2024]: this package is having gui related dependencies given in zip from src fedora. and throwing one error as ""source0 is not available.
I found one more issue is signature.json file is getting empty after each build.",
56,libecap,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-22 0:00:00,2024-10-22 0:00:00,2024-10-22 0:00:00,Y,2024-10-21 0:00:00,1.0.1,1.0.1,1.0.1,"Fedora 42 Release:
https://src.fedoraproject.org/rpms/libecap",1.0.1,http://www.e-cap.org/ http://www.measurement-factory.com/tmp/ecap/%{name}-%{version}.tar.gz,,
57,libecb,Y,0.20230911,,Jagadeesh,NA-Uptodate,,2024-11-25 0:00:00,2024-12-12 0:00:00,2024-11-25 0:00:00,Y,2024-10-21 0:00:00,9.3,9.3,9.3,"https://src.fedoraproject.org/rpms/libecb
Fedora 42 Release.",9.3,http://software.schmorp.de/pkg/libecb.html,"[25-Nov-2024]: 
Update completed. But,
Source0 is not given directly in the src fedora spec file yo update the signature.json file.
[12-Dec-2024]: The latest version from the upstream is 9.3. So, We are picking this version as a latest version as suggested by pawel.",
58,libeot,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-22 0:00:00,2024-10-22 0:00:00,2024-10-22 0:00:00,Y,2024-10-21 0:00:00,0.01,0.01,0.01,https://src.fedoraproject.org/rpms/libeot,0.01,"https://github.com/umanwizard/libeot
https://github.com/umanwizard/libeot/archive/refs/tags/v0.01.tar.gz",,
