Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
hunspell-gl,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-grc,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-gu,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-gv,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-haw,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hi,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hil,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hr,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hsb,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ht,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hu,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-hy,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ia,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-id,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-is,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-it,Akarsh,,N,N,Y,Y,N,N,,P0
hunspell-kk,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-km,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-kn,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ko,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ku,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ky,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-la,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-lb,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ln,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-mai,Neeraj,,N,N,Y,Y,N,N,,P1
