Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
python-aiohttp,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-alsa,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-argcomplete,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-astroid,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-augeas,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-azure-sdk,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-beautifulsoup4,Jyoti,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-betamax,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-blinker,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-blivet,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-cheetah,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-cmd2,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-colorama,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-configshell,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-cups,Sumit,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-curio,Sumit,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Decide_Rev_VerComp,Y,Y,N
python-d2to1,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-dbus-client-gen,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-dbus-python-client-gen,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-dbus-signature-pyparsing,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-dbusmock,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-ddt,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-debtcollector,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-dmidecode,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-dns,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-dtopt,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-dulwich,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
python-enchant,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-entrypoints,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-evdev,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
python-extras,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-faker,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-fasteners,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-fixtures,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-flake8,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-flask,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-fluidity-sm,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-funcsigs,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-genshi,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-gssapi,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-hs-dbus-signature,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-httplib2,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-humanize,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-hwdata,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-inotify,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-into-dbus-python,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-iso8601,Sandeep,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-isodate,Sandeep,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-isort,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
python-itsdangerous,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-justbases,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-justbytes,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-jwcrypto,Archana,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-kdcproxy,Akhila,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-kerberos,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-kmod,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,PRCreated_Rev_VerComp,Y,Y,N
python-lazy-object-proxy,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
python-ldap,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-lit,,,N,N,Y,Y,N,N,,NA,llvm,N,Y,Y,Y,N
python-mccabe,Sumit,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-memcached,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-mimeparse,Kevin,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-monotonic,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-msal,Kevin,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-msrestazure,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-mutagen,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-ntlm-auth,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-oauth2client,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-openpyxl,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
python-openstackdocstheme,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-oslo-i18n,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-oslo-sphinx,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-paramiko,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-podman-api,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,PR_Created_NODNLDVER,Y,Y,N
python-productmd,Sandeep,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-pycares,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-pydbus,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-pymongo,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-pyperclip,Archana,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-pyroute2,Sumit,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
python-pyrsistent,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-pysocks,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-pytest-flake8,Sumit,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-pytest-relaxed,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-pytest-runner,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-pytest-subtests,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-pytest-timeout,Sandeep,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-pytoml,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-qrcode,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-rdflib,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-recommonmark,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
python-redis,,,N,N,N,N,Y,N,,NA,NA,N,Y_Reintroduce,Y,Y,N
python-requests-file,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-requests-ftp,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-requests-kerberos,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-requests-mock,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-requests-toolbelt,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
python-requests_ntlm,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-rfc3986,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-rpm-generators,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
python-rpmfluff,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-rtslib,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,PRCreated_Rev_VerComp,Y,Y,N
python-s3transfer,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-semantic_version,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-should_dsl,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
python-simpleline,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-slip,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
python-sniffio,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-soupsieve,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-sphinx-epytext,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-sphinxcontrib-apidoc,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-sphinxcontrib-httpdomain,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-suds,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-systemd,Aninda,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-tempita,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-templated-dictionary,,,N,N,Y,N,N,Y,,NA,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
python-testpath,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-testresources,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-testscenarios,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,Y
python-testtools,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-toml,Archana,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-tornado,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-tox,Jyoti,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-trio,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-uamqp,Akhila,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_DNLD_fail_Chk_Build,N,Y,Y
python-unittest2,Archana,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N_DNLD_fail_Chk_Build,DECIDED_REMOVE,Y,N
python-uritemplate,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
python-urwid,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-varlink,Akhila,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
python-voluptuous,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-waitress,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
python-webencodings,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-webtest,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-whoosh,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
python-winrm,,,N,N,Y,Y,N,N,,NA,NA,N,Y,Y,Y,N
python-xmltodict,Akhila,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
