Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
lua-expat,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lua-filesystem,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lua-json,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lua-lpeg,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
lua-lunit,Aninda,,N,N,Y,Y,N,N,,P1,lua-lunitx,N,Y,Y,Y,N
lua-term,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
luksmeta,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
lv2,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
lzip,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
m17n-db,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
m17n-lib,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mailx,Archana,,N,N,Y,Y,N,N,,P1,s-nail,N,Y,Y,Y,N
mallard-rng,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
man-pages-cs,Sumit,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,Y,Y,Y,N
man-pages-es,Sumit,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,Y,Y,Y,N
man-pages-it,Sumit,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,Y,Y,Y,N
man-pages-ja,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
man-pages-ko,Sumit,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,Decide_Rev_VerComp,Y_DECIDED_REPLACE,Y,N
man-pages-pl,Sumit,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,Y,Y,Y,N
man-pages-ru,,,N,N,Y,Y,N,N,,P1,man-pages-l10n,N,N,N,Y,N
man-pages-zh-CN,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mariadb-connector-odbc,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
marisa,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
maven-parent,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mcelog,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mdds,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
meanwhile,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mecab,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
mecab-ipadic,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
media-player-info,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
memkind,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
metis,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,PRCreated_Rev_VerComp,Y,Y,N
microcode_ctl,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
microdnf,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
minicom,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
minizip,Archana,,N,N,Y,Y,N,N,,P1,minizip-ng,N,Y,Y,Y,N
mksh,Sumit,,N,N,Y,Y,N,N,,NA,NA,N,Decide_Rev_VerComp,N_DECIDED,Y,N
mobile-broadband-provider-info,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mock,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
mock-core-configs,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
mod_auth_gssapi,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mod_auth_mellon,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mod_auth_openidc,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_authnz_pam,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_fcgid,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mod_http2,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
mod_intercept_form_submit,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_lookup_identity,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mod_md,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_security,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_security_crs,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mod_wsgi,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
mosh,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
mpage,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mrtg,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
mt-st,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
mtr,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
mtx,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mutt,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
mythes,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mythes-bg,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-ca,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mythes-cs,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-da,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-de,Aninda,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
mythes-el,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-en,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
mythes-eo,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-es,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-fr,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-ga,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-hu,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-mi,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-ne,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-nl,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-pl,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-pt,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-ro,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-ru,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-sk,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-sl,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-sv,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
mythes-uk,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
neon,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
netcdf,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
netcf,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
netlabel_tools,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
netpbm,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
netsniff-ng,Aninda,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,N
nilfs-utils,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
nkf,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
nload,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
nmi,Aninda,,N,N,N,N,Y,N,,P1,NA,N,Y_Reintroduce,Y,Y,N
nodejs-nodemon,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
nodejs-packaging,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Decide_Rev_VerComp,N_DECIDED,Y,N
nss-mdns,Aninda,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
nss-pam-ldapd,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
numatop,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
nvmetcli,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,DECIDED_REMOVE,Y,N
objectweb-anttask,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
objenesis,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ocaml-calendar,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-camlp5,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ocaml-csv,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-curses,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-extlib,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-fpath,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
ocaml-libvirt,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-markup,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-parsexp,Aninda,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
ocaml-sexplib,Aninda,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
ocaml-tyxml,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-xml-light,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocaml-zarith,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ocl-icd,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
oddjob,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
ogdi,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
omping,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
opal,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
opencc,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
opencl-filesystem,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
opencl-headers,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
opencryptoki,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
opendnssec,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
openjpeg2,Akhila,,N,N,Y,Y,N,N,,NA,openjpeg,N,Y,Y,Y,N
openobex,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
openoffice-lv,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
openrdate,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
openslp,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
openssl-ibmpkcs11,,,N,N,Y,Y,N,N,,NA,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
openwsman,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
optipng,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
opus,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
opusfile,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
orc,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
oro,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,PR_Created_NODNLDVER,Y,Y,N
os-prober,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
osgi-annotation,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
osgi-compendium,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
osgi-core,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
osinfo-db,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
osinfo-db-tools,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
overpass-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
pacemaker,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
pacrunner,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
pakchois,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
papi,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
paps,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
parallel,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
pbzip2,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
pcp,Sandeep,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Algorithm-C3,Jyoti,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Algorithm-Diff,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Alien-Build,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Alien-pkgconf,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-AnyEvent,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-AnyEvent-AIO,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-AnyEvent-BDB,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-App-FatPacker,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-AppConfig,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Archive-Extract,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Authen-SASL,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-B-Debug,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-B-Hooks-EndOfScope,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-B-Hooks-OP-Check,Jyoti,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-B-Keywords,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-B-Lint,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-BDB,Jyoti,,N,N,N,N,Y,N,,P1,NA,N,Y_Reintroduce,Y,Y,N
perl-BSD-Resource,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Browser-Open,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Business-ISBN,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Business-ISBN-Data,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,PRCreated_Rev_VerComp,Y,Y,N
perl-CBOR-XS,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-CSS-Tiny,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Class-C3,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Class-C3-XS,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Class-Data-Inheritable,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Class-Factory-Util,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Class-ISA,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Class-Inspector,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Class-Load,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Class-Load-XS,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Class-Method-Modifiers,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Class-Singleton,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Class-Tiny,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Class-XSAccessor,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Clone,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Color-ANSI-Util,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Color-RGB-Util,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-ColorThemeBase-Static,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-ColorThemeRole-ANSI,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-ColorThemeUtil-ANSI,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-ColorThemes-Standard,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Compress-LZF,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Compress-Raw-Lzma,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Config-AutoConf,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Config-INI,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Config-INI-Reader-Multiline,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Config-IniFiles,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Config-Simple,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Config-Tiny,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Const-Fast,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Convert-ASN1,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Convert-Bencode,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Coro,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Coro-Multicore,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Cpanel-JSON-XS,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Crypt-CBC,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Crypt-DES,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Crypt-IDEA,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Crypt-OpenSSL-Bignum,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Crypt-OpenSSL-Guess,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Crypt-OpenSSL-RSA,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Crypt-OpenSSL-Random,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Crypt-PasswdMD5,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DBD-MySQL,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Data-Munge,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-Data-OptList,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Data-Peek,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Data-Section,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Data-UUID,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Date-ISO8601,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Date-Manip,Jyoti,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-DateTime,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-Format-Builder,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-Format-DateParse,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-DateTime-Format-HTTP,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-DateTime-Format-IBeat,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-DateTime-Format-ISO8601,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-Format-Mail,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-DateTime-Format-Strptime,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-Locale,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-TimeZone,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-DateTime-TimeZone-SystemV,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-DateTime-TimeZone-Tzfile,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Devel-CallChecker,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Devel-Caller,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-Cycle,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-EnforceEncapsulation,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Devel-GlobalDestruction,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-GlobalDestruction-XS,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-Hide,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-Leak,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Devel-LexAlias,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-Devel-Size,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Digest-BubbleBabble,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Digest-CRC,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Dist-CheckConflicts,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-DynaLoader-Functions,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-EV,Sumit,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
perl-Email-Address,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Email-Date-Format,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Encode-Detect,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Encode-EUCJPASCII,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Encode-IMAPUTF7,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Env-ShellWords,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-Error,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Eval-Closure,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-Event,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-Exception-Class,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-ExtUtils-Config,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-ExtUtils-Depends,Akarsh,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
perl-ExtUtils-Helpers,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-ExtUtils-InstallPaths,Kevin,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
perl-ExtUtils-PkgConfig,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-FCGI,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-FFI-CheckLib,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-File-BOM,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-File-BaseDir,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
perl-File-CheckTree,,,N,N,Y,Y,N,N,,NA,NA,N,N,N,Y,N
perl-File-Copy-Recursive,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
perl-File-DesktopEntry,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
perl-File-Find-Object,Aninda,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
