S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
84,rubygem-scanf,-,,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11356,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,-,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11356
85,rubygem-test-unit-ruby-core,-,,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11357,2024-12-05 0:00:00,2024-12-06 0:00:00,2024-12-06 0:00:00,-,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11357
86,perl-BDB,,,,Sumit,,,,,,,,,,,,,,,
87,perl-Crypt-OpenSSL-RSA,,,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11688,,,,,,,,,,,,,
88,perl-DateTime,,,,Sumit,,,,,,,,,,,,,,,
89,perl-DateTime-Format-Builder,,,,Sumit,,,,,,,,,,,,,,,
90,perl-DateTime-Format-DateParse,,,,Sumit,,,,,,,,,,,,,,,
91,perl-DateTime-Format-HTTP,,,,Sumit,,,,,,,,,,,,,,,
92,perl-DateTime-Format-IBeat,,,,Sumit,,,,,,,,,,,,,,,
93,perl-DateTime-Format-ISO8601,,,,Sumit,,,,,,,,,,,,,,,
94,perl-DateTime-Format-Mail,,,,Sumit,,,,,,,,,,,,,,,
95,perl-DateTime-Format-Strptime,,,,Sumit,,,,,,,,,,,,,,,
96,perl-DateTime-Locale,,,,Sumit,,,,,,,,,,,,,,,
97,perl-DateTime-TimeZone,,,,Sumit,,,,,,,,,,,,,,,
98,perl-Specio,,,,Sumit,,,,,,,,,,,,,,,
99,perl-Sub-Exporter,,,,Sumit,,,,,,,,,,,,,,,
100,perl-Sub-Exporter-Progressive,,,,Sumit,,,,,,,,,,,,,,,
101,perl-Sub-Identify,,,,Sumit,,,,,,,,,,,,,,,
102,perl-Sub-Install,,,,Sumit,,,,,,,,,,,,,,,
103,perl-Sub-Quote,,,,Sumit,,,,,,,,,,,,,,,
104,perl-Syntax-Highlight-Engine-Kate,,,,Sumit,,,,,,,,,,,,,,,
105,perl-Term-Table,,,,Sumit,,,,,,,,,,,,,,,
106,perl-Test-Distribution,,,,Sumit,,,,,,,,,,,,,,,
107,perl-Test-File-ShareDir,,,,Sumit,,,,,,,,,,,,,,,
108,perl-Variable-Magic,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11554,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11554
109,perl-Version-Requirements,N,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11555,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11555
110,perl-XML-Catalog,N,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11556,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11556
111,perl-XML-Writer,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11557,,,,,,,,,,,,,
112,perl-XString,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11559,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11559
113,perl-YAML-LibYAML,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11560,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11560
114,perl-libnet,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11561,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11561
115,perltidy,Y,,P0,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11563,,,,,,,,,,,,,https://github.com/microsoft/azurelinux/pull/11563
