Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
enca,Sumit,,N,N,Y,Y,N,N,,P1,NA
enchant,Sumit,,Y,N,Y,Y,N,N,,P1,NA
enscript,Sumit,,N,N,Y,Y,N,N,,P1,NA
evemu,Sumit,,N,N,Y,Y,N,N,,P1,NA
exempi,Jyoti,,N,N,Y,Y,N,N,,P1,NA
exiv2,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fabtests,Jyoti,,N,N,Y,Y,N,N,,P1,NA
facter,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fakechroot,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fapolicyd,Jyoti,,N,N,N,N,Y,N,,P1,NA
fdk-aac-free,Jyoti,,Y,N,Y,Y,N,N,"Which upstream to use.  There are multiple upstreams.
",P1,NA
fence-virt,Jyoti,,N,N,Y,Y,N,N,,P1,fence-agents
fetchmail,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fftw,Jyoti,,N,N,Y,Y,N,N,,P1,NA
filebench,Jyoti,N,Y,Y,Y,Y,N,N,"The confirmation taken was that the alpha version ""1.5-alpha3"" available on the upstream ""https://sourceforge.net/projects/filebench/files/1.5-alpha3/filebench-1.5-alpha3.tar.gz/download"" will not be considered because it is not a GA.  

We will stick to the latest GA version available upstream, which being ""1.4.9.1"" is the same as the 3.0-dev version.  Therefore, no upgrade is required.",CP_batch1,NA
fipscheck,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,libkcapi
flac,Jyoti,,N,N,Y,Y,N,N,,P1,NA
flite,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fltk,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fonts-rpm-macros,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
foomatic-db,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
freeglut,Jyoti,,N,N,Y,N,N,Y,,P1,NA
freeradius,Jyoti,,N,N,Y,Y,N,N,,P1,NA
freexl,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fros,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fstrm,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fuse-overlayfs,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fuse-sshfs,Jyoti,,N,N,Y,Y,N,N,,P1,NA
fxload,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gavl,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gconf-editor,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gcr,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gdal,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gdisk,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
generic-logos,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
genwqe-tools,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
geoclue2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
geolite2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
geronimo-specs,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
ghc-srpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gl-manpages,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
glassfish-annotation-api,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,jakarta-annotations
glew,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
glm,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnome-desktop-testing,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnome-doc-utils,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnome-icon-theme,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnome-keyring,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnu-getopt,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gnu-regexp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
go-rpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
gom,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
google-api-python-client,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
google-crosextra-caladea-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
google-crosextra-carlito-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,google-carlito-fonts
google-noto-cjk-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,google-noto-sans-cjk-vf-fonts
google-noto-emoji-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
gphoto2,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Oct 2021,P1,NA
gpm,Kevin,,N,N,Y,Y,N,N,,P1,NA
gpsbabel,Kevin,,N,N,Y,Y,N,N,,P1,NA
graphene,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Mar 2022,P1,NA
graphite2,Kevin,,N,N,Y,Y,N,N,,P1,NA
gsl,Kevin,,N,N,Y,Y,N,N,,P1,NA
gspell,Kevin,,N,N,Y,Y,N,N,,P1,NA
gssdp,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Jan 2023,P1,NA
gssntlmssp,Kevin,,N,N,Y,Y,N,N,,P1,NA
gstreamer1,Kevin,,N,N,Y,Y,N,N,,P1,NA
gstreamer1-plugins-base,Kevin,,N,N,Y,Y,N,N,,P1,NA
gtk-vnc,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Mar 2023,P1,NA
gtkspell,Kevin,,N,N,Y,Y,N,N,,P1,NA
guava20,Kevin,To be removed,Y,Y,Y,Y,N,N,Remove guava20.  Note that guava is available in core (SPECS) at version 33.0.0-1.,CP_batch1,NA
gupnp,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Feb 2023,P1,NA
gupnp-av,Kevin,,N,N,Y,Y,N,N,,P1,NA
gupnp-dlna,Kevin,,N,N,Y,Y,N,N,,P1,NA
gupnp-igd,Kevin,,N,N,Y,Y,N,N,,P1,NA
hawtjni-runtime,Kevin,Y,Y,Y,Y,Y,N,N,Last work Oct 2021,P1,hawtjni
hdf,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
highlight,Kevin,,N,N,Y,Y,N,N,,P1,NA
hping3,Kevin,,N,N,Y,Y,N,N,,P1,NA
hsakmt,Kevin,,N,N,Y,Y,N,N,,P1,NA
httpcomponents-core,Kevin,,N,N,Y,Y,N,N,,P1,NA
hunspell-af,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ar,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-as,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ast,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-az,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-be,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-bg,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-bn,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-br,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ca,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-cop,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-csb,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-cv,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-cy,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-da,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-de,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-dsb,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-el,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-eo,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-es,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-et,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-eu,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-fa,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-fj,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-fo,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-fr,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-fur,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-fy,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ga,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-gd,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-gl,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-grc,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-gu,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-gv,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-haw,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hi,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hil,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hr,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hsb,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ht,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hu,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-hy,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ia,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-id,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-is,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-it,Akarsh,,N,N,Y,Y,N,N,,P0,NA
