Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
perl-Test-LongString,,,N,N,Y,Y,N,N,,,NA
perl-Test-Manifest,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Test-Memory-Cycle,,,N,N,Y,N,N,Y,,,NA
perl-Test-MinimumVersion,,,N,N,Y,Y,N,N,,,NA
perl-Test-MockObject,,,N,N,Y,Y,N,N,,,NA
perl-Test-MockRandom,,,N,N,Y,Y,N,N,,,NA
perl-Test-NoTabs,,,N,N,Y,Y,N,N,,,NA
perl-Test-Object,,,N,N,Y,Y,N,N,,,NA
perl-Test-Output,,,N,N,Y,N,N,Y,,,NA
perl-Test-Portability-Files,,,N,N,Y,Y,N,N,,,NA
perl-Test-Requires,,,N,N,Y,N,N,Y,,,NA
perl-Test-RequiresInternet,,,N,N,Y,Y,N,N,,,NA
perl-Test-Script,,,N,N,Y,Y,N,N,,,NA
perl-Test-Simple,,,N,N,Y,Y,N,N,,,NA
perl-Test-SubCalls,,,N,N,Y,Y,N,N,,,NA
perl-Test-Synopsis,Sreenivasulu,,N,N,Y,Y,N,N,,P0,NA
perl-Test-Taint,,,N,N,Y,N,N,Y,,,NA
perl-Test-TrailingSpace,,,N,N,Y,Y,N,N,,,NA
perl-Test-Vars,,,N,N,Y,Y,N,N,,,NA
perl-Test-Warn,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Test-Without-Module,,,N,N,Y,N,N,Y,,,NA
perl-Test-utf8,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
perl-Test2-Plugin-NoWarnings,,,N,N,Y,Y,N,N,,,NA
perl-Test2-Suite,,,N,N,Y,Y,N,N,,,NA
perl-Test2-Tools-Explain,,,N,N,Y,Y,N,N,,,NA
perl-Text-CSV_XS,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-Text-CharWidth,,,N,N,Y,Y,N,N,,,NA
perl-Text-Diff,,,N,N,Y,Y,N,N,,,NA
perl-Text-Glob,,,N,N,Y,Y,N,N,,,NA
perl-Text-Iconv,,,N,N,Y,Y,N,N,,,NA
perl-Text-Soundex,,,N,N,Y,Y,N,N,,,NA
perl-Text-Unidecode,,,N,N,Y,Y,N,N,,,NA
perl-Text-WrapI18N,,,N,N,Y,Y,N,N,,,NA
perl-Tie-IxHash,,,N,N,Y,Y,N,N,,,NA
perl-Tree-DAG_Node,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-UNIVERSAL-can,,,N,N,Y,Y,N,N,,,NA
perl-UNIVERSAL-isa,,,N,N,Y,Y,N,N,,,NA
perl-Unicode-EastAsianWidth,,,N,N,Y,Y,N,N,,,NA
perl-Unicode-LineBreak,,,N,N,Y,Y,N,N,,,NA
perl-Unicode-Map8,,,N,N,Y,Y,N,N,,,NA
perl-Unicode-String,,,N,N,Y,Y,N,N,,,NA
perl-Unicode-UTF8,,,N,N,Y,Y,N,N,,,NA
perl-Unix-Syslog,,,N,N,Y,Y,N,N,,,NA
perl-Variable-Magic,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-Version-Requirements,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-XML-Catalog,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-XML-DOM,,,N,N,Y,Y,N,N,,,NA
perl-XML-Dumper,,,N,N,Y,Y,N,N,,,NA
perl-XML-Filter-BufferText,,,N,N,Y,Y,N,N,,,NA
perl-XML-Generator,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-XML-Grove,,,N,N,Y,Y,N,N,,,NA
perl-XML-Handler-YAWriter,,,N,N,Y,Y,N,N,,,NA
perl-XML-LibXSLT,,,N,N,Y,Y,N,N,,,NA
perl-XML-Parser-Lite,,,N,N,Y,Y,N,N,,,NA
perl-XML-RegExp,,,N,N,Y,Y,N,N,,,NA
perl-XML-SAX-Writer,,,N,N,Y,Y,N,N,,,NA
perl-XML-Simple,,,N,N,Y,Y,N,N,,,NA
perl-XML-TokeParser,,,N,N,Y,Y,N,N,,,NA
perl-XML-TreeBuilder,,,N,N,Y,Y,N,N,,,NA
perl-XML-Twig,,,N,N,Y,Y,N,N,,,NA
perl-XML-Writer,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-XML-XPathEngine,,,N,N,Y,Y,N,N,,,NA
perl-XString,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-YAML-LibYAML,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-YAML-PP,,,N,N,Y,Y,N,N,,,NA
perl-YAML-Syck,Sumit,,N,N,Y,Y,N,N,,New P0,NA
perl-bareword-filehandles,,,N,N,Y,N,N,Y,,,NA
perl-boolean,,,N,N,Y,Y,N,N,,,NA
perl-gettext,,,N,N,Y,Y,N,N,,,NA
perl-inc-latest,,,N,N,Y,Y,N,N,,,NA
perl-indirect,,,N,N,Y,N,N,Y,,,NA
perl-libnet,Sumit,,N,N,Y,Y,N,N,,P0,NA
perl-libxml-perl,,,N,N,Y,Y,N,N,,,NA
perl-multidimensional,,,N,N,Y,N,N,Y,,,NA
perl-namespace-autoclean,,,N,N,Y,Y,N,N,,,NA
perl-namespace-clean,,,N,N,Y,Y,N,N,,,NA
perl-prefork,,,N,N,Y,Y,N,N,,,NA
perl-strictures,,,N,N,Y,N,N,Y,,,NA
perltidy,Sumit,,N,N,Y,Y,N,N,,P0,NA
pesign,,,N,N,Y,N,N,Y,,,NA
phodav,,,N,N,Y,Y,N,N,,,NA
physfs,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
pinfo,Sumit,,N,N,Y,Y,N,N,,P0,NA
pipewire,,,N,N,Y,Y,N,N,,,NA
pkcs11-helper,Sumit,,N,N,Y,Y,N,N,,P0,NA
plexus-pom,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
plotutils,,,N,N,Y,Y,N,N,,,NA
pmdk-convert,,,N,N,Y,Y,N,N,,,NA
pngcrush,,,N,N,Y,Y,N,N,,,NA
pngnq,,,N,N,Y,Y,N,N,,,NA
po4a,,,N,N,Y,Y,N,N,,,NA
podman,,,N,N,Y,Y,N,N,,,NA
poetry,,,N,N,Y,N,N,Y,,,NA
polkit-pkla-compat,,,N,N,Y,Y,N,N,,,NA
portreserve,,,N,N,Y,Y,N,N,,,NA
potrace,,,N,N,Y,Y,N,N,,,NA
powertop,Sumit,,N,N,Y,Y,N,N,,P0,NA
ppp,,,N,N,Y,Y,N,N,,,NA
pps-tools,Sumit,,N,N,Y,Y,N,N,,P0,NA
pptp,,,N,N,Y,Y,N,N,,,NA
procmail,Sumit,,N,N,Y,Y,N,N,,P0,NA
proj,,,N,N,Y,Y,N,N,,,NA
ps_mem,Sumit,,N,N,Y,Y,N,N,,P0,NA
psacct,,,N,N,Y,Y,N,N,,,NA
psl-make-dafsa,,,N,N,Y,Y,N,N,,,libpsl
psutils,,,N,N,Y,Y,N,N,,,NA
ptlib,,,N,N,Y,Y,N,N,,,NA
publicsuffix,,,N,N,Y,Y,N,N,,,NA
publicsuffix-list,Akhila,,N,N,Y,Y,N,N,,New P0,NA
pulseaudio,,,N,N,Y,Y,N,N,,,NA
puppet,Sumit,,N,N,Y,Y,N,N,,P1,NA
pyatspi,Sumit,,N,N,Y,Y,N,N,,P1,NA
pybind11,,,N,N,Y,N,N,Y,,,NA
pyflakes,,,N,N,Y,N,N,Y,,,NA
pykickstart,Sumit,,N,N,Y,Y,N,N,,P0,NA
pylint,,,N,N,Y,Y,N,N,,,NA
pyparted,Sumit,,N,N,Y,Y,N,N,,P0,NA
pyserial,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-CommonMark,,,N,N,Y,Y,N,N,,,NA
python-IPy,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-PyMySQL,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-aiodns,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-aiohttp,,,N,N,Y,Y,N,N,,,NA
python-alsa,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-argcomplete,,,N,N,Y,Y,N,N,,,NA
python-astroid,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-augeas,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-azure-sdk,,,N,N,Y,Y,N,N,,,NA
python-beautifulsoup4,,,N,N,Y,Y,N,N,,,NA
python-betamax,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-blinker,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-blivet,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-cheetah,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-cmd2,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-colorama,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-configshell,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-cups,Sumit,,N,N,Y,Y,N,N,,P0,NA
python-curio,,,N,N,Y,Y,N,N,,,NA
python-d2to1,,,N,N,Y,Y,N,N,,,NA
python-dbus-client-gen,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-dbus-python-client-gen,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-dbus-signature-pyparsing,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-dbusmock,,,N,N,Y,Y,N,N,,,NA
python-ddt,,,N,N,Y,Y,N,N,,,NA
python-debtcollector,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-dmidecode,,,N,N,Y,Y,N,N,,,NA
python-dns,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-dtopt,,,N,N,Y,Y,N,N,,,NA
python-dulwich,Akhila,,N,N,Y,Y,N,N,,New P0,NA
python-enchant,,,N,N,Y,Y,N,N,,,NA
python-entrypoints,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-evdev,,,N,N,Y,N,N,Y,,,NA
python-extras,,,N,N,Y,Y,N,N,,,NA
python-faker,,,N,N,Y,Y,N,N,,,NA
python-fasteners,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-fixtures,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-flake8,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-flask,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-fluidity-sm,,,N,N,Y,Y,N,N,,,NA
python-funcsigs,,,N,N,Y,Y,N,N,,,NA
python-genshi,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-gssapi,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-hs-dbus-signature,,,N,N,Y,Y,N,N,,,NA
python-httplib2,,,N,N,Y,Y,N,N,,,NA
python-humanize,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
python-hwdata,,,N,N,Y,Y,N,N,,,NA
python-inotify,,,N,N,Y,Y,N,N,,,NA
python-into-dbus-python,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-iso8601,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
python-isodate,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
python-isort,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
python-itsdangerous,,,N,N,Y,Y,N,N,,,NA
python-justbases,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-justbytes,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-jwcrypto,,,N,N,Y,Y,N,N,,,NA
python-kdcproxy,,,N,N,Y,Y,N,N,,,NA
python-kerberos,,,N,N,Y,Y,N,N,,,NA
python-kmod,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-lazy-object-proxy,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
python-ldap,,,N,N,Y,Y,N,N,,,NA
python-lit,,,N,N,Y,Y,N,N,,,llvm
python-mccabe,,,N,N,Y,Y,N,N,,,NA
python-memcached,,,N,N,Y,Y,N,N,,,NA
python-mimeparse,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
python-monotonic,,,N,N,Y,Y,N,N,,,NA
python-msal,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
python-msrestazure,,,N,N,Y,Y,N,N,,,NA
python-mutagen,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-ntlm-auth,,,N,N,Y,Y,N,N,,,NA
python-oauth2client,,,N,N,Y,Y,N,N,,,NA
python-openpyxl,,,N,N,Y,N,N,Y,,,NA
python-openstackdocstheme,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-oslo-i18n,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-oslo-sphinx,,,N,N,Y,Y,N,N,,,NA
python-paramiko,,,N,N,Y,Y,N,N,,,NA
python-podman-api,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-productmd,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-pycares,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-pydbus,,,N,N,Y,Y,N,N,,,NA
python-pymongo,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-pyperclip,,,N,N,Y,Y,N,N,,,NA
python-pyroute2,,,N,N,Y,N,N,Y,,,NA
python-pyrsistent,,,N,N,Y,Y,N,N,,,NA
python-pysocks,,,N,N,Y,Y,N,N,,,NA
python-pytest-flake8,,,N,N,Y,Y,N,N,,,NA
python-pytest-relaxed,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-pytest-runner,,,N,N,Y,Y,N,N,,,NA
python-pytest-subtests,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-pytest-timeout,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-pytoml,,,N,N,Y,Y,N,N,,,NA
python-qrcode,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-rdflib,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
python-recommonmark,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
python-redis,,,N,N,N,N,Y,N,,,NA
python-requests-file,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
python-requests-ftp,,,N,N,Y,Y,N,N,,,NA
python-requests-kerberos,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
python-requests-mock,,,N,N,Y,Y,N,N,,,NA
python-requests-toolbelt,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
python-requests_ntlm,,,N,N,Y,Y,N,N,,,NA
python-rfc3986,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
python-rpm-generators,,,N,N,Y,N,N,Y,,,NA
python-rpmfluff,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-rtslib,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-s3transfer,,,N,N,Y,Y,N,N,,,NA
python-semantic_version,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
python-should_dsl,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
python-simpleline,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-slip,,,N,N,Y,Y,N,N,,,NA
python-sniffio,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-soupsieve,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-sphinx-epytext,,,N,N,Y,Y,N,N,,,NA
python-sphinxcontrib-apidoc,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-sphinxcontrib-httpdomain,,,N,N,Y,Y,N,N,,,NA
python-suds,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-systemd,,,N,N,Y,Y,N,N,,,NA
python-tempita,,,N,N,Y,Y,N,N,,,NA
python-templated-dictionary,,,N,N,Y,N,N,Y,,,NA
python-testpath,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-testresources,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-testscenarios,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
python-testtools,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
python-toml,Archana,,N,N,Y,Y,N,N,,,NA
python-tornado,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
python-tox,Jyoti,,N,N,Y,Y,N,N,,,NA
python-trio,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-uamqp,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
python-unittest2,,,N,N,Y,Y,N,N,,,NA
python-uritemplate,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-urwid,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
python-varlink,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-voluptuous,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
python-waitress,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
python-webencodings,,,N,N,Y,Y,N,N,,,NA
python-webtest,,,N,N,Y,Y,N,N,,,NA
python-whoosh,,,N,N,Y,Y,N,N,,,NA
python-winrm,,,N,N,Y,Y,N,N,,,NA
python-xmltodict,Akhila,,N,N,Y,Y,N,N,,P0,NA
python-yubico,,,N,N,Y,Y,N,N,,,NA
python-zmq,,,N,N,Y,Y,N,N,,,NA
python3-mallard-ducktype,Archana,,N,N,Y,Y,N,N,,,NA
python3-typed_ast,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
pyusb,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
pywbem,Akhila,,N,N,Y,Y,N,N,,P0,NA
pyxattr,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA
qhull,Akhila,,N,N,Y,Y,N,N,,P0,NA
qpdf,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA
qperf,,,N,N,Y,Y,N,N,,,NA
qr-code-generator,Akhila,,N,N,Y,Y,N,N,,P0,NA
qt5-qtconnectivity,,,N,N,Y,Y,N,N,,,NA
qt5-qtsensors,,,N,N,Y,Y,N,N,,,NA
qt5-qtserialport,,,N,N,Y,Y,N,N,,,NA
quagga,,,N,N,Y,Y,N,N,,,NA
raptor2,,,N,N,Y,Y,N,N,,,NA
rarian,Archana,,N,N,Y,Y,N,N,,New P0,NA
rasdaemon,,,N,N,Y,N,N,Y,,,NA
rasqal,,,N,N,Y,Y,N,N,,,NA
rcs,,,N,N,Y,Y,N,N,,,NA
rdist,,,N,N,Y,Y,N,N,,,NA
re2c,Akhila,,N,N,Y,Y,N,N,,P0,NA
realmd,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
rear,,,N,N,Y,Y,N,N,,,NA
recode,Akhila,,N,N,Y,Y,N,N,,P0,NA
redland,,,N,N,N,N,Y,N,,,NA
regexp,,,N,N,Y,Y,N,N,,,NA
relaxngDatatype,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
resource-agents,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
rhash,Akhila,,N,N,Y,Y,N,N,,P0,NA
rhino,,,N,N,Y,Y,N,N,,,NA
rhnlib,,,N,N,Y,Y,N,N,,,NA
ripgrep,,,N,N,Y,Y,N,N,,,rust-ripgrep
rp-pppoe,,,N,N,Y,Y,N,N,,,NA
rpmlint,,,N,N,Y,Y,N,N,,,NA
rtkit,,,N,N,Y,Y,N,N,,,NA
rubygem-bson,Jyoti,Y,N,N,Y,Y,N,N,,CP_batch1,NA
rubygem-coderay,,,N,N,Y,Y,N,N,,,NA
rubygem-diff-lcs,,,N,N,Y,Y,N,N,,,NA
rubygem-eventmachine,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
rubygem-flexmock,Akhila,,N,N,Y,Y,N,N,,P0,NA
rubygem-liquid,Akhila,,N,N,Y,Y,N,N,,P0,NA
rubygem-maruku,,,N,N,Y,Y,N,N,,,NA
rubygem-mongo,Akhila,,N,N,Y,Y,N,N,,P0,NA
rubygem-mysql2,,,N,N,Y,Y,N,N,,,NA
rubygem-pkg-config,Akhila,,N,N,Y,Y,N,N,,P0,NA
rubygem-rouge,Akhila,,N,N,Y,Y,N,N,,P0,NA
rubygem-rspec-expectations,,,N,N,Y,Y,N,N,,,NA
rubygem-rspec-mocks,,,N,N,Y,Y,N,N,,,NA
rubygem-rspec-support,Archana,,N,N,Y,Y,N,N,,New P0,NA
rubygem-thread_order,Archana,,N,N,Y,Y,N,N,,,NA
rusers,,,N,N,Y,Y,N,N,,,NA
rust-cbindgen,,,N,N,Y,Y,N,N,,,NA
samba,,,N,N,Y,Y,N,N,,,NA
sassist,,,N,N,Y,Y,N,N,,,NA
satyr,Sumit,Y,N,N,Y,Y,N,N,,P1,NA
sbc,Archana,,N,N,Y,Y,N,N,,P0,NA
sblim-cim-client2,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-base,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-devel,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-fsvol,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-network,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-nfsv3,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-nfsv4,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-params,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-sysfs,,,N,N,Y,Y,N,N,,,NA
sblim-cmpi-syslog,,,N,N,Y,Y,N,N,,,NA
sblim-indication_helper,,,N,N,Y,Y,N,N,,,NA
sblim-sfcCommon,,,N,N,Y,Y,N,N,,,NA
sblim-sfcb,,,N,N,Y,Y,N,N,,,NA
sblim-sfcc,,,N,N,Y,Y,N,N,,,NA
sblim-testsuite,,,N,N,Y,Y,N,N,,,NA
sblim-wbemcli,,,N,N,Y,Y,N,N,,,NA
scl-utils,Archana,,N,N,Y,Y,N,N,,P0,NA
scotch,,,N,N,Y,Y,N,N,,,NA
screen,,,N,N,Y,Y,N,N,,,NA
sdparm,Archana,,N,N,Y,Y,N,N,,P0,NA
sendmail,,,N,N,N,N,Y,N,,,NA
serd,,,N,N,Y,Y,N,N,,,NA
servletapi4,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
servletapi5,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
setserial,,,N,N,Y,Y,N,N,,,NA
setuptool,,,N,N,Y,Y,N,N,,,NA
sgpio,,,N,N,Y,Y,N,N,,,NA
shapelib,,,N,N,Y,Y,N,N,,,NA
sip,Archana,,N,N,Y,Y,N,N,,P0,NA
skkdic,Archana,,N,N,Y,Y,N,N,,P0,NA
slirp4netns,Archana,,N,N,Y,Y,N,N,,P0,NA
smc-tools,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
sombok,,,N,N,Y,Y,N,N,,,NA
sord,,,N,N,Y,Y,N,N,,,NA
sound-theme-freedesktop,,,N,N,Y,Y,N,N,,,NA
soundtouch,Archana,,N,N,Y,Y,N,N,,P0,NA
sox,,,N,N,Y,Y,N,N,,,NA
soxr,,,N,N,Y,Y,N,N,,,NA
sparsehash,,,N,N,Y,Y,N,N,,,NA
spausedd,Archana,,N,N,Y,Y,N,N,,P0,NA
speex,,,N,N,Y,Y,N,N,,,NA
speexdsp,Archana,,N,N,Y,Y,N,N,,P0,NA
spice-protocol,Archana,,N,N,Y,Y,N,N,,P0,NA
spice-vdagent,,,N,N,Y,Y,N,N,,,NA
spirv-headers,,,N,N,Y,N,N,Y,,,NA
spirv-tools,,,N,N,Y,N,N,Y,,,NA
splix,,,N,N,Y,Y,N,N,,,NA
squid,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
sratom,,,N,N,Y,Y,N,N,,,NA
star,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
startup-notification,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
stunnel,,,N,N,Y,Y,N,N,,,NA
subscription-manager,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
suitesparse,,,N,N,Y,Y,N,N,,,NA
switcheroo-control,,,N,N,Y,Y,N,N,,,NA
sysfsutils,,,N,N,Y,N,N,Y,,,NA
systemd-bootchart,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA
t1lib,,,N,N,Y,Y,N,N,,,NA
t1utils,,,N,N,Y,Y,N,N,,,NA
taglib,Archana,,N,N,Y,Y,N,N,,P0,NA
tang,,,N,N,Y,Y,N,N,,,NA
targetcli,Archana,,N,N,Y,Y,N,N,,P0,NA
tbb,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
tcl-pgtcl,,,N,N,Y,Y,N,N,,,NA
tclx,,,N,N,Y,Y,N,N,,,NA
teckit,Archana,,N,N,Y,Y,N,N,,P0,NA
telnet,,,N,N,Y,Y,N,N,,,NA
tix,,,N,N,Y,Y,N,N,,,NA
tk,Archana,,N,N,Y,Y,N,N,,New P0,NA
tlog,Archana,,N,N,Y,Y,N,N,,New P0,NA
tmpwatch,,,N,N,Y,Y,N,N,,,NA
tn5250,Archana,,N,N,Y,Y,N,N,,P0,NA
tofrodos,,,N,N,Y,Y,N,N,,,NA
tpm-quote-tools,,,N,N,N,N,Y,N,,,NA
tpm-tools,,,N,N,N,N,Y,N,,,NA
trilead-ssh2,,,N,N,Y,Y,N,N,,,NA
tss2,Archana,,N,N,Y,Y,N,N,,P0,NA
ttmkfdir,,,N,N,Y,Y,N,N,,,NA
twolame,Archana,,N,N,Y,Y,N,N,,P0,NA
uchardet,Archana,,N,N,Y,Y,N,N,,P0,NA
ucpp,,,N,N,Y,Y,N,N,,,NA
ucs-miscfixed-fonts,,,N,N,Y,Y,N,N,,,NA
udftools,Archana,,N,N,Y,Y,N,N,,P0,NA
udica,,,N,N,Y,Y,N,N,,,NA
udisks2,,,N,N,Y,Y,N,N,,,NA
uglify-js,,,N,N,Y,Y,N,N,,,NA
umoci,,,N,N,Y,Y,N,N,,,NA
unicode-emoji,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
unicode-ucd,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
unique3,,,N,N,Y,Y,N,N,,,NA
units,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
upower,,,N,N,Y,Y,N,N,,,NA
uriparser,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
urlview,,,N,N,Y,Y,N,N,,,NA
usb_modeswitch,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
usb_modeswitch-data,,,N,N,Y,Y,N,N,,,NA
usbguard,,,N,N,Y,Y,N,N,,,NA
usbmuxd,,,N,N,Y,Y,N,N,,,NA
usermode,,,N,N,Y,N,N,Y,,,NA
ustr,,,N,N,Y,Y,N,N,,,NA
uthash,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
uw-imap,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
v4l-utils,,,N,N,Y,Y,N,N,,,NA
vhostmd,,,N,N,Y,Y,N,N,,,NA
vino,,,N,N,Y,Y,N,N,,,NA
virt-p2v,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
virt-top,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
virt-who,,,N,N,Y,Y,N,N,,,NA
vmem,,,N,N,Y,Y,N,N,,,NA
volume_key,Jyoti,Override_to_Y,N,N,Y,Y,N,N,Picked up by Jyoti as a dependency for libblockdev.,P1,NA
vorbis-tools,,,N,N,Y,Y,N,N,,,NA
watchdog,Akarsh,,N,N,Y,Y,N,N,,P0,NA
wavpack,Akarsh,,N,N,Y,Y,N,N,,P0,NA
web-assets,,,N,N,Y,Y,N,N,,,NA
